,rssi_D1_1F_AP01,rssi_D1_1F_AP02,rssi_D1_1F_AP03,rssi_D1_1F_AP04,rssi_D1_1F_AP05,rssi_D1_1F_AP06,rssi_D1_1F_AP07,rssi_D1_1F_AP08,xr,yr,cur_eirp,floor
43,-81.0,-100.0,-100.0,-93.0,-54.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
44,-81.0,-100.0,-100.0,-93.0,-54.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
45,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
46,-100.0,-100.0,-100.0,-93.0,-54.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
47,-82.0,-100.0,-100.0,-93.0,-54.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
48,-100.0,-100.0,-100.0,-93.0,-54.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
49,-83.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
50,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
51,-100.0,-100.0,-100.0,-93.0,-100.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
52,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
53,-86.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
54,-86.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
55,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
56,-86.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
57,-86.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
58,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
59,-100.0,-100.0,-100.0,-92.0,-100.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
60,-86.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
61,-86.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
62,-86.0,-100.0,-100.0,-92.0,-100.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
63,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
64,-86.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
65,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
66,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
67,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
68,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
69,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
70,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
71,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
72,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
73,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
74,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
75,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
